"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Abrus precatorius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Achatina fulica";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Achatinidae";"Terrestrial";
"Ageratum conyzoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Asparagus officinalis";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Bidens pilosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Bugula neritina";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Bugulidae";"Marine";
"Canis lupus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Cedrela odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Cenchrus clandestinus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cinchona pubescens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rubiales";"Rubiaceae";"Terrestrial";
"Columba livia";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Terrestrial";
"Didemnum spp.";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Didemnidae";"Marine";
"Eleutherodactylus coqui";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Equus asinus";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Terrestrial";
"Equus caballus";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Terrestrial";
"Felis catus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Felidae";"Terrestrial";
"Gallus gallus";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Icerya purchasi";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Margarodidae";"Terrestrial";
"Lantana camara";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Leucaena leucocephala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Monomorium destructor";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium floricola";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium pharaonis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Paratrechina longicornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Paspalum vaginatum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Passiflora foetida";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Pheidole megacephala";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Philornis downsi";"Animalia";"Arthropoda";"Insecta";"Diptera";"Muscidae";"Terrestrial";
"Physalis peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Psidium guajava";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
